Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
4366,2883,13,Q9Y4X0,3341581.6853,28.5701,2.3685,5667894324945,0.98,0,wan_et_al_15_hs
4367,2884,13,Q9Y4X5,23005939.3274,78.5556,3.4917,39139924857689.3,0.9798,0,wan_et_al_15_hs
4368,2885,13,Q9Y4Z0,88353601.9631,50.4731,1.5337,3103155823075133,0.8364,0,wan_et_al_15_hs
4369,2886,13,Q9Y508,11597271.8182,37.4009,1.684,1974979941496.89,0.9885,0,wan_et_al_15_hs
4370,2887,13,Q9Y520,4352215.5619,21.0399,4.449,68017144455811.5,0.9356,0,wan_et_al_15_hs
4371,2887,13,Q9Y520,9095656.0884,53.3871,5.1248,68017144455811.5,0.9356,0,wan_et_al_15_hs
4372,2887,13,Q9Y520,11594292.7252,52.8309,0.8814,68017144455811.5,0.9356,0,wan_et_al_15_hs
4373,2887,13,Q9Y520,5765539.3919,29.193,1.5171,68017144455811.5,0.9356,0,wan_et_al_15_hs
4374,2890,13,Q9Y570,76622034.8174,44.1042,1.5745,790857956821631,0.9422,0,wan_et_al_15_hs
4375,2891,13,Q9Y5A9,4877724.808,39.7853,1.9963,18523706546387.8,0.7737,0,wan_et_al_15_hs
4376,2891,13,Q9Y5A9,1752196.3622,67.0782,6.364,18523706546387.8,0.7737,0,wan_et_al_15_hs
4377,2891,13,Q9Y5A9,1244624.1204,98.3569,2.6973,18523706546387.8,0.7737,0,wan_et_al_15_hs
4378,2891,13,Q9Y5A9,1895358.7736,85.0021,1.4021,18523706546387.8,0.7737,0,wan_et_al_15_hs
4379,2892,13,Q9Y5B9,92013841.4898,77.9356,5.8879,2.95909594882796E+015,0.9806,0,wan_et_al_15_hs
4380,2892,13,Q9Y5B9,68146805.7918,84.495,1.7345,2.95909594882796E+015,0.9806,0,wan_et_al_15_hs
4381,2892,13,Q9Y5B9,103025892.3129,88.2812,4.5026,2.95909594882796E+015,0.9806,0,wan_et_al_15_hs
4382,2892,13,Q9Y5B9,40283061.9882,98.6076,2.1243,2.95909594882796E+015,0.9806,0,wan_et_al_15_hs
4383,2894,13,Q9Y5K5,18094255.6449,44.4513,1.4989,118630905449140,0.8522,0,wan_et_al_15_hs
4384,2895,13,Q9Y5K6,44454440.7041,44.5318,1.585,58048579433594.6,0.9845,0,wan_et_al_15_hs
4385,2895,13,Q9Y5K6,8879848.1052,39.9527,1.6055,58048579433594.6,0.9845,0,wan_et_al_15_hs
4386,2896,13,Q9Y5L4,4257700.2319,38.2748,1.5476,14315060738080.9,0.9557,0,wan_et_al_15_hs
4387,2896,13,Q9Y5L4,11273559.8493,45.2295,1.8842,14315060738080.9,0.9557,0,wan_et_al_15_hs
4388,2896,13,Q9Y5L4,2873826.3275,49.5345,1.8894,14315060738080.9,0.9557,0,wan_et_al_15_hs
4389,2897,13,Q9Y5M8,2719374.8473,56.5771,3.1793,93334018269511.6,0.888,0,wan_et_al_15_hs
