Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
122,89,9,P05740,8820364140.1264,49.0331,1.8307,2.25370561805796E+018,0.9159,0,wt_wan_et_al_15
123,89,9,P05740,1589135035.8655,52.4448,28.4781,2.25370561805796E+018,0.9159,0,wt_wan_et_al_15
124,90,9,P05743,770963928.9345,45.0496,1.394,1.62563093735142E+017,0.9346,0,wt_wan_et_al_15
125,91,9,P05744,436897166.3063,54.1748,4.5022,3.1273518694832E+017,0.8208,0,wt_wan_et_al_15
126,91,9,P05744,130864603.8024,73.5325,14.8717,3.1273518694832E+017,0.8208,0,wt_wan_et_al_15
127,91,9,P05744,177493656.8661,78.2617,3.9328,3.1273518694832E+017,0.8208,0,wt_wan_et_al_15
128,92,9,P05745,291653742.274,51.0966,0.1355,2407404413179559,0.9946,0,wt_wan_et_al_15
129,92,9,P05745,862164276.6734,52.6455,1.5151,2407404413179559,0.9946,0,wt_wan_et_al_15
130,93,9,P05747,131329051.7305,50.2161,2.8693,1.19521460381488E+016,0.8955,0,wt_wan_et_al_15
131,93,9,P05747,174851523.5059,76.6173,1.6212,1.19521460381488E+016,0.8955,0,wt_wan_et_al_15
132,94,9,P05748,93276489.001,35.3298,1.9851,4.84010989339189E+016,0.9545,0,wt_wan_et_al_15
133,94,9,P05748,54206620.9697,60.7725,4.5715,4.84010989339189E+016,0.9545,0,wt_wan_et_al_15
134,94,9,P05748,125099013.7915,97.4624,5.0478,4.84010989339189E+016,0.9545,0,wt_wan_et_al_15
135,94,9,P05748,50694775.9088,67.7701,19.046,4.84010989339189E+016,0.9545,0,wt_wan_et_al_15
136,94,9,P05748,256543011.6517,84.5279,12.0196,4.84010989339189E+016,0.9545,0,wt_wan_et_al_15
137,95,9,P05749,68198202149.2919,39.3214,2.0192,2.76961797168272E+016,0.9605,0,wt_wan_et_al_15
138,96,9,P05750,532308208.7254,68.628,22.0019,6.55693827906442E+017,0.9236,0,wt_wan_et_al_15
139,96,9,P05750,600673952.3948,88.2277,14.6495,6.55693827906442E+017,0.9236,0,wt_wan_et_al_15
140,97,9,P05755,6289395619.2325,45.6068,1.7756,1.41174711459253E+018,0.8725,0,wt_wan_et_al_15
141,98,9,P05756,1787060385.5132,50.8313,6.6471,1.84564354012082E+018,0.9859,0,wt_wan_et_al_15
142,98,9,P05756,1133960852.6446,79.94,16.3213,1.84564354012082E+018,0.9859,0,wt_wan_et_al_15
143,98,9,P05756,2501608373.6769,61.6292,10.6921,1.84564354012082E+018,0.9859,0,wt_wan_et_al_15
144,98,9,P05756,576017291.2113,101.8132,2.6625,1.84564354012082E+018,0.9859,0,wt_wan_et_al_15
145,99,9,P05759,569849504.0492,5.0547,3.0246,7.91247015559208E+017,0.9548,0,wt_wan_et_al_15
146,99,9,P05759,3459033733.8022,56.9022,1.9474,7.91247015559208E+017,0.9548,0,wt_wan_et_al_15
147,100,9,P06101,845956044.7752,34.4644,1.5892,1.72146684069944E+016,0.9681,0,wt_wan_et_al_15
148,101,9,P06102,116449831.4628,31.6002,2.1683,1.13852432042423E+015,0.929,0,wt_wan_et_al_15
149,102,9,P06103,217885913.3472,27.0786,3.4962,8.32150912180964E+016,0.9519,0,wt_wan_et_al_15
150,102,9,P06103,876906718.8281,32.5031,2.0136,8.32150912180964E+016,0.9519,0,wt_wan_et_al_15
151,102,9,P06103,174600793.9705,74.3292,1.6863,8.32150912180964E+016,0.9519,0,wt_wan_et_al_15
152,102,9,P06103,193659138.0916,83.2554,16.4493,8.32150912180964E+016,0.9519,0,wt_wan_et_al_15
153,104,9,P06105,4488450924.6284,23.2214,1.7528,6.98255941654966E+017,0.9783,0,wt_wan_et_al_15
154,105,9,P06106,11851381657.3843,7.9243,2.1744,2.73807521184231E+017,0.997,0,wt_wan_et_al_15
155,105,9,P06106,5061786902.8972,12.3448,2.4075,2.73807521184231E+017,0.997,0,wt_wan_et_al_15
156,106,9,P06115,25043028.1059,10.5577,5.8034,243594885795504,0.95,0,wt_wan_et_al_15
157,107,9,P06168,233252116999.474,3.1763,1.6729,3.49337051852796E+017,0.9482,0,wt_wan_et_al_15
158,108,9,P06169,8072531747.4072,3.9275,1.6981,1.33398671728479E+018,0.9631,0,wt_wan_et_al_15
159,109,9,P06174,256932539.9529,11.5211,1.7255,1.35005468274365E+015,0.9903,0,wt_wan_et_al_15
160,110,9,P06208,2804777491.1536,22.5827,1.5726,7.19763642173083E+017,0.9673,0,wt_wan_et_al_15
161,110,9,P06208,475406732.4808,18.2458,6.9429,7.19763642173083E+017,0.9673,0,wt_wan_et_al_15
162,111,9,P06634,505747941.625,18.9576,-1.7311,1.59548899057077E+016,0.9974,0,wt_wan_et_al_15
163,111,9,P06634,1322015151.6623,23.5455,2.5833,1.59548899057077E+016,0.9974,0,wt_wan_et_al_15
164,113,9,P06738,623791316.0507,37.2643,1.7174,1.98028418183753E+016,0.9761,0,wt_wan_et_al_15
165,113,9,P06738,146481017.3734,40.4266,-0.3749,1.98028418183753E+016,0.9761,0,wt_wan_et_al_15
166,114,9,P06776,71725225.295,17.7612,2.0731,255079487373938,0.9804,0,wt_wan_et_al_15
167,116,9,P06782,75841175.4245,32.2737,2.6339,588071766231069,0.9717,0,wt_wan_et_al_15
168,116,9,P06782,24926721.5271,53.8783,3.7238,588071766231069,0.9717,0,wt_wan_et_al_15
169,117,9,P06785,29977831.4025,4.5753,1.6676,246050666678722,0.8781,0,wt_wan_et_al_15
170,118,9,P06786,10138861.8772,41.887,2.0704,17186219222258,0.9761,0,wt_wan_et_al_15
171,118,9,P06786,13165997.0687,35.413,2.245,17186219222258,0.9761,0,wt_wan_et_al_15
172,119,9,P06787,597846478.8318,33.3774,1.7923,1.53266845107128E+016,0.9469,0,wt_wan_et_al_15
173,120,9,P07149,2068578168.4035,74.085,27.2677,6.38706571216449E+018,0.7853,0,wt_wan_et_al_15
174,120,9,P07149,6360049048.9298,38.1259,2.9278,6.38706571216449E+018,0.7853,0,wt_wan_et_al_15
175,120,9,P07149,1637739668.2507,43.097,6.8117,6.38706571216449E+018,0.7853,0,wt_wan_et_al_15
176,121,9,P07170,337073544.1604,3.4986,1.0767,3.35489038812632E+016,0.8333,0,wt_wan_et_al_15
177,122,9,P07172,177159169.2577,4.6176,1.6353,1.50252140597357E+015,0.977,0,wt_wan_et_al_15
