Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
2390,1786,12,Q13451,15201436.8035,25.3351,1.9428,621571005510.63,0.9974,0,kirkwood_rep3
2391,1787,12,Q13459,3559643.8821,16.6717,1.9838,7471631396.1637,0.9977,0,kirkwood_rep3
2392,1788,12,Q13464,68489389.4021,12.4334,1.2982,614603525386427,0.9341,0,kirkwood_rep3
2393,1789,12,Q13485,2359773.1071,25.8174,1.5141,777564824851.934,0.9331,0,kirkwood_rep3
2394,1791,12,Q13492,3170512.8535,2.0603,1.6763,1768147154716.45,0.9621,0,kirkwood_rep3
2395,1791,12,Q13492,3372322.5282,22.7156,2.694,1768147154716.45,0.9621,0,kirkwood_rep3
2396,1791,12,Q13492,1218315.6157,39.0001,1.404,1768147154716.45,0.9621,0,kirkwood_rep3
2397,1791,12,Q13492,2024495.7108,29.1277,-2.707,1768147154716.45,0.9621,0,kirkwood_rep3
2398,1792,12,Q13501,8159370.2396,3.5515,2.8453,14519567574422.2,0.97,0,kirkwood_rep3
2399,1792,12,Q13501,6554173.3586,8.9644,6.5817,14519567574422.2,0.97,0,kirkwood_rep3
2400,1792,12,Q13501,3168501.843,34.209,1.7074,14519567574422.2,0.97,0,kirkwood_rep3
2401,1793,12,Q13503,1056334.4464,8.5768,2.2349,14687953325.9093,0.9926,0,kirkwood_rep3
2402,1794,12,Q13509,149275510.5941,25.2437,2.0491,3.01728750549959E+015,0.9483,0,kirkwood_rep3
2403,1795,12,Q13523,2209963.8193,3.8194,1.8137,313419421589.999,0.969,0,kirkwood_rep3
2404,1795,12,Q13523,653096.4721,10.7762,5.9794,313419421589.999,0.969,0,kirkwood_rep3
2405,1796,12,Q13526,268940869.302,32.9033,1.7619,490694492745834,0.9972,0,kirkwood_rep3
2406,1797,12,Q13535,3244008.1122,13.4928,1.8689,17736545048.8103,0.9985,0,kirkwood_rep3
2407,1798,12,Q13541,4906647.7328,28.0902,2.0077,26777715434.3854,0.9954,0,kirkwood_rep3
2408,1800,12,Q13547,19604376.7754,5.6905,2.6351,11352635972470.9,0.9931,0,kirkwood_rep3
2409,1800,12,Q13547,3716444.9359,26.2263,2.0903,11352635972470.9,0.9931,0,kirkwood_rep3
