Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
17640,14672,4,P10869,16676640.5591,53.3622,-3.1249,49227398504192.6,0.9835,0,wt_zymolyase_17
17641,14672,4,P10869,20410694.6637,3.6151,2.1336,49227398504192.6,0.9835,0,wt_zymolyase_17
17642,14674,4,P10964,98976423.3875,5.7785,3.1745,1.02883484378482E+016,0.9467,0,wt_zymolyase_17
17643,14674,4,P10964,174805807.3504,20.3717,4.6271,1.02883484378482E+016,0.9467,0,wt_zymolyase_17
17644,14675,4,P11075,14992015.8697,2.0947,1.514,18773786836370.8,0.984,0,wt_zymolyase_17
17645,14675,4,P11075,5407061.7782,15.5602,4.0676,18773786836370.8,0.984,0,wt_zymolyase_17
17646,14675,4,P11075,11525696.3424,5.0652,-3.0987,18773786836370.8,0.984,0,wt_zymolyase_17
17647,14676,4,P11076,71235113.1549,3.1252,2.623,1130124174627912,0.9264,0,wt_zymolyase_17
17648,14676,4,P11076,21369524.7339,60.2995,8.7922,1130124174627912,0.9264,0,wt_zymolyase_17
17649,14680,4,P11412,71634209.6599,32.3519,1.9303,118424337646210,0.9865,0,wt_zymolyase_17
17650,14682,4,P11484,394191247.7864,3.8524,3.4421,1.94527896230048E+017,0.8997,0,wt_zymolyase_17
17651,14682,4,P11484,670513195.6175,61.4426,8.116,1.94527896230048E+017,0.8997,0,wt_zymolyase_17
17652,14682,4,P11484,116533159.0301,32.7901,2.4979,1.94527896230048E+017,0.8997,0,wt_zymolyase_17
17653,14682,4,P11484,439167474.6309,48.9884,2.0662,1.94527896230048E+017,0.8997,0,wt_zymolyase_17
17654,14683,4,P11491,26336479.1341,3.7303,2.585,10205243765355.2,0.9883,0,wt_zymolyase_17
17655,14684,4,P11632,10940721.3035,9.2802,4.2391,51364788777164.4,0.937,0,wt_zymolyase_17
17656,14684,4,P11632,4534343.7233,37,1.4015,51364788777164.4,0.937,0,wt_zymolyase_17
17657,14684,4,P11632,15566737.3885,21.9957,1.4043,51364788777164.4,0.937,0,wt_zymolyase_17
17658,14685,4,P11633,10587879.1935,10.1992,3.924,58929867952769.7,0.8811,0,wt_zymolyase_17
17659,14687,4,P11745,103901857.6484,3.4997,1.7807,358063103744302,0.9844,0,wt_zymolyase_17
17660,14689,4,P11938,25824477.6678,49.8566,1.4295,192055817880807,0.9128,0,wt_zymolyase_17
17661,14689,4,P11938,16521867.3896,45.2954,2.1634,192055817880807,0.9128,0,wt_zymolyase_17
17662,14690,4,P12383,6061712.8621,29.5577,1.9741,310331756117.289,0.9964,0,wt_zymolyase_17
17663,14691,4,P12385,164947781.4985,1.4788,1.4921,3994315601883432,0.9166,0,wt_zymolyase_17
17664,14691,4,P12385,45328529.8577,8.7017,3.0633,3994315601883432,0.9166,0,wt_zymolyase_17
17665,14692,4,P12612,60679955.324,6.5179,3.0085,212050784215020,0.9971,0,wt_zymolyase_17
17666,14692,4,P12612,102691320.5579,18.1904,2.4846,212050784215020,0.9971,0,wt_zymolyase_17
17667,14692,4,P12612,39634367.986,16.7412,6.2027,212050784215020,0.9971,0,wt_zymolyase_17
17668,14694,4,P12688,8681390.2658,5.7344,1.8251,14442006388065.5,0.911,0,wt_zymolyase_17
17669,14695,4,P12695,3135894.9372,2.3024,1.4251,74462681184440.2,0.8894,0,wt_zymolyase_17
17670,14695,4,P12695,6558256.344,47.8436,1.3842,74462681184440.2,0.8894,0,wt_zymolyase_17
17671,14695,4,P12695,13824481.491,37.3848,3.1334,74462681184440.2,0.8894,0,wt_zymolyase_17
17672,14697,4,P12754,6575657.0071,4.0065,2.0578,2021341166840.06,0.9947,0,wt_zymolyase_17
17673,14697,4,P12754,8121982.2937,15.2708,2.8281,2021341166840.06,0.9947,0,wt_zymolyase_17
17674,14697,4,P12754,4432140.6781,7.6381,-3.6339,2021341166840.06,0.9947,0,wt_zymolyase_17
17675,14702,4,P12945,41657925.5616,9.7493,2.0349,181266599882276,0.9835,0,wt_zymolyase_17
17676,14702,4,P12945,26721701.3097,12.4161,6.2222,181266599882276,0.9835,0,wt_zymolyase_17
17677,14705,4,P13188,136675866.5516,33.8408,1.7003,1790087719724936,0.9463,0,wt_zymolyase_17
17678,14708,4,P13483,184730.8196,9.5005,2.8443,3510860807.9938,0.9647,0,wt_zymolyase_17
17679,14712,4,P13663,374414976.9097,34.8536,1.6859,2552390686297841,0.9917,0,wt_zymolyase_17
17680,14713,4,P14020,218445370.4573,4.521,2.8042,2722143147490496,0.977,0,wt_zymolyase_17
17681,14714,4,P14120,425874117.1199,8.8754,2.0373,1269546603560152,0.9787,0,wt_zymolyase_17
17682,14714,4,P14120,77730440.1402,3.4591,2.3251,1269546603560152,0.9787,0,wt_zymolyase_17
17683,14715,4,P14126,1135346103.9739,8.2022,1.8783,1.28431083159907E+017,0.9844,0,wt_zymolyase_17
17684,14715,4,P14126,576162358.7709,15.8869,8.9002,1.28431083159907E+017,0.9844,0,wt_zymolyase_17
17685,14715,4,P14126,370263000.6963,17.1144,1.8349,1.28431083159907E+017,0.9844,0,wt_zymolyase_17
17686,14716,4,P14127,1015621993.4569,10.8234,3.5901,2.54736195758316E+016,0.9821,0,wt_zymolyase_17
17687,14717,4,P14164,7532561.2839,45.8921,3.2825,6043381544001.65,0.9566,0,wt_zymolyase_17
17688,14719,4,P14540,4263030208.341,38.4962,2.0961,2.70354065235027E+018,0.9331,0,wt_zymolyase_17
17689,14719,4,P14540,1205358244.4422,61.0895,11.3522,2.70354065235027E+018,0.9331,0,wt_zymolyase_17
17690,14722,4,P14742,71777277.6862,4.1917,2.8656,606743008355367,0.963,0,wt_zymolyase_17
17691,14722,4,P14742,16043799.9581,60.3346,7.6349,606743008355367,0.963,0,wt_zymolyase_17
17692,14723,4,P14743,73833323.25,45.9457,1.559,944446047726802,0.949,0,wt_zymolyase_17
17693,14723,4,P14743,34815603.6935,66.8966,3.7457,944446047726802,0.949,0,wt_zymolyase_17
17694,14723,4,P14743,25530990.5042,54.567,8.3181,944446047726802,0.949,0,wt_zymolyase_17
17695,14725,4,P14772,8733282.8223,4.2259,2.4568,655992217451.284,0.993,0,wt_zymolyase_17
17696,14726,4,P14832,4636129907.1645,50.7062,1.8058,4.19002929637965E+017,0.9909,0,wt_zymolyase_17
17697,14727,4,P14843,15505083.1178,65.2572,4.9332,602391379483278,0.0679,0,wt_zymolyase_17
17698,14727,4,P14843,7315679440.5293,48.1364,3.6218,602391379483278,0.0679,0,wt_zymolyase_17
17699,14727,4,P14843,35235227.6867,56.7237,-5.0349,602391379483278,0.0679,0,wt_zymolyase_17
17700,14728,4,P14906,24811023.9939,4.0121,2.2943,10617941868709.4,0.9919,0,wt_zymolyase_17
17701,14730,4,P14922,17328716.2879,3.814,2.6713,16293599785517.4,0.9813,0,wt_zymolyase_17
17702,14730,4,P14922,13134765.7133,47.0513,1.6222,16293599785517.4,0.9813,0,wt_zymolyase_17
17703,14731,4,P15019,489020525.9586,42.6783,1.9757,1.13600580236361E+016,0.9879,0,wt_zymolyase_17
17704,14731,4,P15019,207628391.2408,45.7747,3.571,1.13600580236361E+016,0.9879,0,wt_zymolyase_17
17705,14731,4,P15019,142408034.2591,57.5195,5.03,1.13600580236361E+016,0.9879,0,wt_zymolyase_17
17706,14732,4,P15108,1523509322.3313,31.3632,4.1663,3.87515375326187E+018,0.8938,0,wt_zymolyase_17
17707,14732,4,P15108,2547543087.2,40.4501,4.7198,3.87515375326187E+018,0.8938,0,wt_zymolyase_17
17708,14733,4,P15180,398876797.509,34.9675,1.6751,4439781462838570,0.9646,0,wt_zymolyase_17
17709,14734,4,P15274,9383690.4181,9.4831,6.8466,16695824728792.5,0.9647,0,wt_zymolyase_17
17710,14734,4,P15274,2582713.4829,28.0161,1.3941,16695824728792.5,0.9647,0,wt_zymolyase_17
17711,14735,4,P15303,5176538.1958,3.6201,2.2573,73856897456404.5,0.9376,0,wt_zymolyase_17
17712,14735,4,P15303,5648345.1916,59.3597,2.0535,73856897456404.5,0.9376,0,wt_zymolyase_17
17713,14735,4,P15303,9240089.753,19.1996,9.3234,73856897456404.5,0.9376,0,wt_zymolyase_17
17714,14735,4,P15303,8408201.3571,63.8281,5.2367,73856897456404.5,0.9376,0,wt_zymolyase_17
17715,14735,4,P15303,18371848.162,28.5678,1.5032,73856897456404.5,0.9376,0,wt_zymolyase_17
17716,14738,4,P15454,24872824.0795,2.892,2.4204,662667269023579,0.878,0,wt_zymolyase_17
17717,14738,4,P15454,19847579.8969,43.8751,5.4976,662667269023579,0.878,0,wt_zymolyase_17
17718,14738,4,P15454,32140658.6404,66.5657,-2.5349,662667269023579,0.878,0,wt_zymolyase_17
17719,14739,4,P15496,1958140.1337,5,1.3912,122955117538687,0.0498,0,wt_zymolyase_17
17720,14740,4,P15565,72173015.4718,17.6687,5.2343,85286382312236,0.9172,0,wt_zymolyase_17
17721,14740,4,P15565,90144294.3476,15.8212,9.0898,85286382312236,0.9172,0,wt_zymolyase_17
17722,14741,4,P15624,808275472.1534,25.9305,2.6164,6520387133557193,0.8647,0,wt_zymolyase_17
17723,14742,4,P15625,2300742317.3376,24.2501,2.2119,1607604966533647,0.8815,0,wt_zymolyase_17
17724,14743,4,P15646,84975177.8508,4.3106,3.0847,5896329087120672,0.9217,0,wt_zymolyase_17
17725,14743,4,P15646,99814217.6513,65.8213,4.6426,5896329087120672,0.9217,0,wt_zymolyase_17
