uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
P00447	0	0	0	73626000	448790000	993160000	1287200000	2321500000	2724100000	1226500000	818010000	710860000	732990000	572190000	444050000	277280000	150020000	56460000	20620000	3073100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00498	0	0	0	321790	3146800	3817700	7063100	13129000	12426000	6326000	6360300	4992900	1885200	2620700	885250	14567000	744180	474480	456010	123620	539780	899640	3129200	4649200	461150000	5058000000	5872000000	554530000	118180000	16182000	4797500	3066600	554220	16179000	319040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00546	0	0	0	0	35584000	3787400	4507700	3533400	4219400	4289400	3585900	2767200	3746000	3693400	3737900	0	2085800	0	0	0	0	2564500	4052600	1639500	0	0	0	0	3079400	0	3984600	3235200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00549	8169700	1175400	21135000000	3879900000	1907200000	1196400000	1555900000	1409300000	1292800000	1297200000	1105100000	1064900000	961540000	890950000	760670000	869490000	747750000	421880000	277640000	133880000	310740000	241040000	311630000	80571000	131960000	126400000	35771000	120630000	117920000	159350000	166430000	149850000	133210000	74647000	145010000	167510000	104530000	151330000	111910000	138070000	173370000	171400000	159140000	135110000	174740000	153300000	149960000	189880000	202780000	168580000	204790000	222640000	263050000	300850000	337000000	287490000	318900000	316130000	285490000	328190000	394430000	388160000	352950000	335290000	310760000	337430000	363420000	391230000	368270000	354770000	368510000	351950000	287280000	360880000	315970000	211740000	304210000	316450000	362920000	357030000	340790000	429000000	394680000	362480000	470360000	389490000	368540000	463410000	452230000	162920000	217570000	357160000	273650000	396850000	316570000	0	342030000	269310000	311660000	442910000	268690000	415030000	1044200000	1081900000	1388200000	1204300000	922840000	981940000
P00560	0	431640	9322800	245220000	335340000	463240000	506530000	1173100000	1348800000	1820300000	1400100000	1640700000	1383600000	1151500000	1443900000	1721600000	2043100000	1864600000	6121000000	28469000000	8702700000	928670000	345610000	62269000	2494500000	565090000	2127700000	2817100	998890	709790	526910	501380	242160	0	94977	189440	313240	293030	247020	678480	459230	320180	877510	102960	332750	359300	551220	276110	435690	271750	332980	482750	2413500	1005500	1953600	698630	810940	1746000	1196600	644790	369740	579750	722280	656530	947860	974150	1060300	1053600	491380	1605100	1279900	431910	253620	1141400	552250	0	571250	1241800	1416700	584460	115800	345950	371410	777290	0	234750	223710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1768600	188220000	107680000	25993000	43495000	9815300	36225000
P00724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11481000	0	0	0	12204000	17208000	19601000	25337000	10526000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2447400	80223000	54743000	14515000	7746100	0	278600000	200390000	37972000	17582000	17307000	4222600	11642000	3021600	30973000	64290000	225420000	131320000	4897000	5394500	3650400	0	2449900	3118700	2381600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3876900	0	2322400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00812	0	0	0	0	0	0	0	1709600	2571600	3648300	8253900	25453000	24209000	37980000	41613000	46129000	7962900	22488000	17275000	41993000	520930000	213300000	92764000	23180000	3253800	2111900	0	2134700	5911700	5032600	3090800	3337800	1919100	0	0	1202400	0	0	17623000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4693000	0	17216000	0	5999100	0	5691200	0	0	2227500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00815	0	0	0	5004400	37175000	25651000	35033000	68602000	85551000	42529000	94769000	148190000	102130000	72663000	136650000	122140000	138850000	119740000	126790000	71742000	189000000	161780000	147520000	207720000	122350000	52559000	19118000	119820000	290430000	256560000	221720000	206630000	195920000	68547000	125640000	109770000	74078000	90049000	80641000	88796000	71582000	103200000	90700000	58083000	79779000	126480000	41679000	99144000	67732000	52456000	52962000	63623000	104750000	75093000	86282000	82436000	86260000	90582000	86030000	100480000	110830000	77302000	94749000	100350000	61600000	94989000	81242000	126010000	80107000	133370000	119070000	115830000	85806000	132450000	91611000	45248000	112400000	97257000	126670000	115830000	119770000	95667000	167730000	114600000	132530000	136710000	217190000	192740000	192510000	95414000	60135000	166940000	80841000	217870000	102380000	0	38907000	121460000	91868000	125670000	83664000	0	108170000	40020000	17183000	12592000	10378000	18070000
P00817	0	0	313250000	937900000	918250000	310880000	294500000	244440000	109830000	64159000	26439000	13756000	10823000	13399000	9905300	10939000	73600000	64655000	15808000	10812000	27534000	3325400	1681900	289270	0	854610	0	0	0	0	781800	1067800	1516800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3554500	0	0	0	0	0	0	0	0	14292000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6961300	14681000	12550000	2175400	14569000
