uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
E9PAV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1931900	1741700	0	0	1310100	3285700	3109600	4555600	9011600	112840000	61339000	0	230490000	166890000	310560000	293230000	225680000	668550000	323640000	74189000	154450000	111750000	84596000	126660000	81313000	118430000	81824000	45843000	21630000	53711000	37409000	43155000	43201000	38604000	36668000	0	38382000	45134000	0	53679000	40450000	34323000	42536000	77523000	0	28421000	0	0	0	44692000	31883000	20131000	26749000	0	23290000	0	0	0	0	0	0
O00115	0	0	0	0	0	0	0	0	0	0	0	1308100	0	0	3316300	7330600	0	1911800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9258700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1834700	2160800	12793000	16674000	3018000	0	0	0	2581500	2938900	0	2875300	2709600	3389900	3137000	0	5938800	20435000	13835000	58943000	26289000	31844000	25607000	0	5517500	0	5955400	3684300	7790400	5612700	7225600	0	2459400	0	0	5270000	0	0	0	8015600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3348400	0	3573800	0	0	0	0	26933000	49717000	30109000	12172000	6368200	5338200	2825200	0	0	0	0	0	0	0	3595000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00151	0	0	0	0	0	0	0	74236	0	0	0	0	0	176840	80615	378040	1114900	10985000	2230400	687010	1587200	1808600	3071600	142620000	412810000	274670000	46715000	9700300	10117000	12526000	3469900	1485000	897870	1601700	0	0	0	478220	167420	0	484980	0	518570	228810	0	614410	0	0	0	0	0	0	0	203370	662640	0	0	849250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422680	498390	0	0	1135500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362840	0	471250	2770100	372620
O00154	0	0	0	0	0	0	0	0	0	0	0	5337300	134190000	59463000	241340000	90597000	47564000	23315000	37013000	20210000	16128000	30373000	25372000	20817000	26521000	20729000	12393000	23714000	42116000	43359000	21828000	20411000	2967700	4060000	2984200	1406900	805030	659970	839570	0	0	0	2355000	184450	0	0	0	0	0	0	0	0	0	0	0	0	1528200	0	0	0	0	0	0	0	1181100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2380000	0	2799000	0	0
O00159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5938900	9100700	5709000	20108000	10297000	6972000	11674000	0	5158500	0	15898000	5977200	17705000	9551300	14906000	0	7652300	0	6765600	5697500	4938700	0	0	5109600	6355500	0	6977800	7551700	5758700	0	0	0	4429500	0	0	5857300	0	0	0	0	0	0	0	0	0	0	4832100	0	0	0	0	0	0	0	0	0	0
O00170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2492100	2963600	47847000	0	7458900	3001000	2690900	1883000	1613800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2217600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3375600	6743500	7309300	9350600	4069900	0
O00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927400	0	1491800	3765500	26621000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1461300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2186100	30167000	0	2266500	2169200	3435900	1848800	0	2390400	3196100	1969100	2841500	0	1582800	0	0	0	0	0	0	1593400	2009300	3079800	0	2483700	0	1842600	0	2352200	0	0	2276700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
