uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
O00203	0	0	768260	0	0	0	0	0	3254200	0	791130	3302900	9970300	10274000	29673000	57549000	50969000	12842000	3900700	2852200	1486400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00217	4764400	1908900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3363300	6875100	3256300	1844600	1445700	1480200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00231	2017200	2098900	1841300	321260	1284300	13081000	66675000	146940000	251890000	337640000	332800000	330840000	246200000	106670000	23788000	16408000	12067000	6284600	3793100	4360600	3479300	617980	267970	241940	0	0	0	0	201940	0	136970	0	0	0	0	0	0	0	0	200260
O00232	1139700	1131000	221390	297760	1227100	7862000	48151000	112570000	222180000	251840000	276710000	225310000	136840000	72109000	16002000	7301100	6979600	5203300	6208800	6539900	9762000	4791400	466160	0	352370	0	0	0	312410	182020	0	0	0	836370	1300000	406770	1492000	0	420280	407520
O00233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588440	0	0	8111900	0	0	0	0	784120	812840	486320	0	0	0	0	0	0	0	0	0
O00264	41110000	185550000	64771000	21310000	23660000	15563000	8419600	3202000	2251900	1510800	2592600	1629500	0	1373600	0	0	1767800	0	0	0	0	0	0	0	0	0	0	0	1420100	1585300	1449500	0	0	0	0	0	0	0	0	0
O00267	0	311170	203790	133090	0	0	0	0	0	0	0	0	159730	348430	159530	1212900	893400	3897200	46338000	147660000	87464000	25745000	7694400	2516700	514880	5522600	5572500	3470800	0	1390000	2663600	1099800	414500	188780	0	0	0	0	0	0
O00273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1084400	2008500	2901200	10359000	5431800	5370100	2266600	0	0	2488800	0	0	0	0	0	0	0	0	0
O00299	2175700	895090	266990	373810	0	0	367990	1164600	2408200	1226100	0	0	0	508790	0	0	162510	325160	49182	0	0	0	0	1484800	3607700	18431000	55158000	165520000	1044100000	1164800000	759380000	315640000	74690000	30529000	18687000	5881800	1269300	961900	0	0
O00303	4564400	4860800	5676100	4022700	2842200	5190800	7428500	9651100	26599000	125090000	336910000	262780000	86315000	22787000	8184900	8530900	7400600	6352000	586340	6665800	5401400	6578000	20576000	37828000	26753000	4794700	2348800	0	0	0	0	0	0	1733700	2114100	6129600	0	0	0	0
O00330	2399300	2702200	4273000	3822000	6777700	4383200	0	0	0	0	0	1150200	1189500	0	0	0	0	0	0	0	0	2303100	6253400	1281000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00399	0	0	0	0	0	0	0	0	0	2051300	10874000	2968700	1769900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1244700	1173300	1514600	0	0	0	0	0	0	0	0	0
O00401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2278400	0	0	0	0	0	3615500	4366400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1741500	5380700	17885000	7553900	1576100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
