uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
P02557	15681000	53467000	39062000	85250000	12054000	97489000	21563000	3113600	4778000	3201400	1327100	3319200	8833100	3674500	0	12301000	6594700	8150500	0	0	0	3628000	0	0	2105100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11709000	10507000	11973000	39679000	50164000	34013000	25180000	17205000	15864000	12094000	12653000	10638000	7623800	10103000	11322000	9129800
P02829	34009000	21516000	7178800	29680000	334440000	40097000	13013000	5546700	0	0	0	0	12017000	8558700	0	7040800	0	0	0	0	0	18079000	1745000	4010000	5642200	31172000	58628000	153320000	125460000	167290000	321990000	264830000	292730000	433570000	144160000	29047000	0	22466000	0	0	9775400	27403000	174970000	178810000	114870000	75857000	15558000	23853000	6823300	0	0	13806000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02992	0	7838500	10689000	23581000	25691000	14694000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8503400	161970000	95045000	37889000	14755000	0	145610000	173300000	176310000	196750000	145180000	86298000	65425000	59339000	93339000	71997000	67152000	24797000	21805000	40483000	27916000	18869000	23568000	15318000	15549000	7749300	7103000
P02994	2143500000	2157100000	2061100000	1565600000	1528800000	1167800000	2079000000	1325700000	661950000	722400000	705750000	861960000	428270000	512280000	698150000	690920000	576560000	328960000	297020000	220660000	205160000	174840000	182680000	153770000	241750000	188270000	266270000	196360000	129890000	89143000	169920000	46231000	18728000	24428000	33952000	34726000	36446000	219190000	45638000	50055000	28240000	15967000	46065000	86544000	629190000	1229500000	931360000	585640000	768640000	3426100000	3062400000	3142000000	2950200000	2025500000	1203500000	1779800000	3399200000	3217300000	4258800000	3393100000	4355100000	3989600000	6482400000	4780900000	5314200000	4786800000	4528700000	5211700000	5129900000	4719200000
P04046	0	16021000	17543000	5236300	6284800	0	0	5086400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6822500	6217900	8078300	21067000	74760000	35676000	80007000	30616000	39006000	9293700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33379000	0	28412000	0	0	14387000	17665000	0	7411600	5587500	0	0	8408000	0	0	0	0	0	0	0	0
P04050	0	11219000	14901000	12125000	23741000	8827700	4356100	435140	0	1009100	0	2950000	0	1612300	5250600	15845000	22203000	80271000	120450000	247600000	881110000	538740000	727420000	749570000	477360000	60884000	12287000	6130400	3693500	0	0	0	0	460170	2014100	47107000	0	0	7022500	0	0	0	6611300	7192600	0	0	0	3900700	0	0	61654000	4348200	1989800	0	2942500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04051	0	6510800	9456500	17861000	38401000	36576000	20122000	6965400	9449300	10822000	0	11816000	10850000	12184000	18266000	30962000	45231000	60472000	57423000	42456000	27216000	15071000	8779200	9396300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04147	63500000	41845000	40371000	39156000	34212000	30997000	14228000	32203000	20986000	16102000	6669100	6919300	6708400	8238700	14598000	44485000	30469000	38607000	44726000	32764000	55988000	41243000	148180000	180030000	63520000	234710000	223060000	118550000	33401000	9788000	0	67271000	97263000	124220000	273920000	207470000	79227000	0	0	0	0	0	21683000	16909000	23618000	25309000	9854800	9449900	0	17180000	71282000	94639000	193040000	129980000	72909000	91220000	132770000	116720000	84159000	95502000	67403000	150780000	168130000	166680000	170380000	90392000	154780000	119220000	90281000	92925000
P04449	12695000	87028000	88974000	14101000	10933000	48769000	454490000	591530000	532940000	636060000	541760000	219060000	96348000	77030000	37354000	52322000	75275000	87515000	78699000	68475000	63285000	71056000	53803000	37045000	0	0	0	0	0	0	0	0	0	8445500	23254000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3902700	0	0	0	15547000	10426000	16895000	16032000	17248000	22027000	43902000	28146000	12618000	0
P04456	84452000	148460000	296480000	197420000	428650000	450510000	766060000	1194600000	1548800000	913610000	570670000	325090000	593320000	360740000	283320000	261790000	234330000	103300000	45840000	36465000	22682000	61133000	43281000	68130000	22176000	0	0	15704000	0	0	0	0	0	0	0	0	0	3183500	0	4147100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22108000	14073000	43983000	23613000	18567000	12952000	29246000	0	28269000	10043000	77561000
